filename,number_of_pages,categorized,all_categorized,file_location,content
104-10062-10256.pdf,4,4,True,/Users/furkandemir/Desktop/Thesis/files/4/104-10062-10256.pdf,
104-10062-10288.pdf,8,8,True,/Users/furkandemir/Desktop/Thesis/files/6-10/104-10062-10288.pdf,
104-10063-10017.pdf,3,3,True,/Users/furkandemir/Desktop/Thesis/files/3/104-10063-10017.pdf,
104-10063-10149.pdf,4,4,True,/Users/furkandemir/Desktop/Thesis/files/4/104-10063-10149.pdf,
104-10063-10152.pdf,4,4,True,/Users/furkandemir/Desktop/Thesis/files/4/104-10063-10152.pdf,
104-10063-10153.pdf,4,4,True,/Users/furkandemir/Desktop/Thesis/files/4/104-10063-10153.pdf,
104-10063-10160.pdf,3,3,True,/Users/furkandemir/Desktop/Thesis/files/3/104-10063-10160.pdf,
104-10063-10162.pdf,4,4,True,/Users/furkandemir/Desktop/Thesis/files/4/104-10063-10162.pdf,
104-10063-10169.pdf,2,2,True,/Users/furkandemir/Desktop/Thesis/files/2/104-10063-10169.pdf,
104-10063-10179.pdf,2,2,True,/Users/furkandemir/Desktop/Thesis/files/2/104-10063-10179.pdf,
104-10063-10206.pdf,1,1,True,/Users/furkandemir/Desktop/Thesis/files/1/104-10063-10206.pdf,
104-10063-10266.pdf,2,2,True,/Users/furkandemir/Desktop/Thesis/files/2/104-10063-10266.pdf,
104-10063-10430.pdf,2,2,True,/Users/furkandemir/Desktop/Thesis/files/2/104-10063-10430.pdf,
104-10063-10434.pdf,2,2,True,/Users/furkandemir/Desktop/Thesis/files/2/104-10063-10434.pdf,
104-10063-10438.pdf,6,6,True,/Users/furkandemir/Desktop/Thesis/files/6-10/104-10063-10438.pdf,
104-10064-10006.pdf,2,2,True,/Users/furkandemir/Desktop/Thesis/files/2/104-10064-10006.pdf,
104-10064-10012.pdf,17,17,True,/Users/furkandemir/Desktop/Thesis/files/11-20/104-10064-10012.pdf,
104-10064-10015.pdf,10,10,True,/Users/furkandemir/Desktop/Thesis/files/6-10/104-10064-10015.pdf,
104-10065-10028.pdf,2,2,True,/Users/furkandemir/Desktop/Thesis/files/2/104-10065-10028.pdf,
104-10065-10050.pdf,1,1,True,/Users/furkandemir/Desktop/Thesis/files/1/simple/104-10065-10050.pdf,
104-10065-10069.pdf,1,1,True,/Users/furkandemir/Desktop/Thesis/files/1/104-10065-10069.pdf,
104-10065-10075.pdf,2,2,True,/Users/furkandemir/Desktop/Thesis/files/2/104-10065-10075.pdf,
104-10065-10105.pdf,1,1,True,/Users/furkandemir/Desktop/Thesis/files/1/104-10065-10105.pdf,
104-10065-10113.pdf,1,1,True,/Users/furkandemir/Desktop/Thesis/files/1/104-10065-10113.pdf,
104-10065-10124.pdf,1,1,True,/Users/furkandemir/Desktop/Thesis/files/1/104-10065-10124.pdf,
104-10065-10152.pdf,8,8,True,/Users/furkandemir/Desktop/Thesis/files/6-10/104-10065-10152.pdf,
104-10065-10358.pdf,2,2,True,/Users/furkandemir/Desktop/Thesis/files/2/104-10065-10358.pdf,
104-10065-10360.pdf,1,1,True,/Users/furkandemir/Desktop/Thesis/files/1/104-10065-10360.pdf,
104-10065-10386.pdf,1,1,True,/Users/furkandemir/Desktop/Thesis/files/1/104-10065-10386.pdf,
104-10066-10010.pdf,2,2,True,/Users/furkandemir/Desktop/Thesis/files/2/104-10066-10010.pdf,
104-10066-10031.pdf,2,2,True,/Users/furkandemir/Desktop/Thesis/files/2/104-10066-10031.pdf,
104-10066-10060.pdf,1,1,True,/Users/furkandemir/Desktop/Thesis/files/1/104-10066-10060.pdf,
104-10066-10076.pdf,9,9,True,/Users/furkandemir/Desktop/Thesis/files/6-10/104-10066-10076.pdf,
104-10066-10107.pdf,1,1,True,/Users/furkandemir/Desktop/Thesis/files/1/104-10066-10107.pdf,
104-10066-10238.pdf,1,1,True,/Users/furkandemir/Desktop/Thesis/files/1/104-10066-10238.pdf,
104-10066-10239.pdf,1,1,True,/Users/furkandemir/Desktop/Thesis/files/1/104-10066-10239.pdf,
104-10066-10240.pdf,2,2,True,/Users/furkandemir/Desktop/Thesis/files/2/104-10066-10240.pdf,
104-10066-10245.pdf,1,1,True,/Users/furkandemir/Desktop/Thesis/files/1/104-10066-10245.pdf,
104-10066-10260.pdf,1,1,True,/Users/furkandemir/Desktop/Thesis/files/1/104-10066-10260.pdf,
104-10067-10043.pdf,2,2,True,/Users/furkandemir/Desktop/Thesis/files/2/104-10067-10043.pdf,
104-10067-10044.pdf,1,1,True,/Users/furkandemir/Desktop/Thesis/files/1/104-10067-10044.pdf,
104-10067-10046.pdf,1,1,True,/Users/furkandemir/Desktop/Thesis/files/1/104-10067-10046.pdf,
104-10067-10291.pdf,3,3,True,/Users/furkandemir/Desktop/Thesis/files/3/104-10067-10291.pdf,
104-10068-10142.pdf,1,1,True,/Users/furkandemir/Desktop/Thesis/files/1/104-10068-10142.pdf,
104-10068-10164.pdf,1,1,True,/Users/furkandemir/Desktop/Thesis/files/1/104-10068-10164.pdf,
104-10068-10172.pdf,2,2,True,/Users/furkandemir/Desktop/Thesis/files/2/104-10068-10172.pdf,
104-10069-10077.pdf,1,1,True,/Users/furkandemir/Desktop/Thesis/files/1/104-10069-10077.pdf,
104-10069-10112.pdf,1,1,True,/Users/furkandemir/Desktop/Thesis/files/1/104-10069-10112.pdf,
104-10069-10120.pdf,2,2,True,/Users/furkandemir/Desktop/Thesis/files/2/104-10069-10120.pdf,
104-10069-10132.pdf,4,4,True,/Users/furkandemir/Desktop/Thesis/files/4/104-10069-10132.pdf,
104-10069-10177.pdf,3,3,True,/Users/furkandemir/Desktop/Thesis/files/3/104-10069-10177.pdf,
104-10069-10185.pdf,5,5,True,/Users/furkandemir/Desktop/Thesis/files/5/104-10069-10185.pdf,
104-10069-10260.pdf,2,2,True,/Users/furkandemir/Desktop/Thesis/files/2/104-10069-10260.pdf,
104-10069-10359.pdf,2,2,True,/Users/furkandemir/Desktop/Thesis/files/2/104-10069-10359.pdf,
104-10070-10009.pdf,2,2,True,/Users/furkandemir/Desktop/Thesis/files/2/104-10070-10009.pdf,
104-10070-10079.pdf,18,18,True,/Users/furkandemir/Desktop/Thesis/files/11-20/104-10070-10079.pdf,
